,control_p_val,control_avg_logFC,control_pct.1,control_pct.2,control_p_val_adj,treatment_p_val,treatment_avg_logFC,treatment_pct.1,treatment_pct.2,treatment_p_val_adj,max_pval,minimump_p_val,cluster,gene
PF3D7-1249800,2.61E-11,0.307667145,0.699,0.484,1.37E-07,5.80E-25,0.378772895,0.648,0.405,3.03E-21,2.61E-11,1.16E-24,5,PF3D7-1249800
PF3D7-0809600,1.66E-13,0.342855655,0.426,0.224,8.66E-10,4.75E-24,0.360023822,0.327,0.139,2.48E-20,1.66E-13,9.49E-24,5,PF3D7-0809600
PF3D7-1107300,3.20E-22,0.423170715,0.896,0.68,1.67E-18,1.12E-23,0.348792652,0.8,0.602,5.86E-20,3.20E-22,2.24E-23,5,PF3D7-1107300
PF3D7-1223400,2.09E-18,0.356842759,0.863,0.656,1.09E-14,3.26E-23,0.346755304,0.797,0.598,1.70E-19,2.09E-18,6.52E-23,5,PF3D7-1223400
PF3D7-0628200,9.83E-20,0.408366875,0.803,0.54,5.13E-16,8.87E-23,0.373576304,0.685,0.468,4.63E-19,9.83E-20,1.77E-22,5,PF3D7-0628200
PF3D7-1366300,4.31E-21,0.471680216,0.781,0.539,2.25E-17,1.12E-22,0.381179963,0.694,0.476,5.83E-19,4.31E-21,2.23E-22,5,PF3D7-1366300
PF3D7-1462300,4.50E-18,0.309548764,0.59,0.304,2.35E-14,1.38E-22,0.273286724,0.497,0.258,7.23E-19,4.50E-18,2.77E-22,5,PF3D7-1462300
PF3D7-0922800,1.07E-14,0.378170699,0.508,0.274,5.60E-11,4.17E-22,0.418128975,0.4,0.202,2.18E-18,1.07E-14,8.35E-22,5,PF3D7-0922800
PF3D7-1359000,7.71E-20,0.32605985,0.612,0.315,4.03E-16,4.07E-20,0.3285015,0.521,0.297,2.13E-16,7.71E-20,8.14E-20,5,PF3D7-1359000
PF3D7-0218600,4.76E-18,0.384645635,0.689,0.419,2.49E-14,6.30E-20,0.358426552,0.606,0.391,3.29E-16,4.76E-18,1.26E-19,5,PF3D7-0218600
PF3D7-0812100,7.57E-12,0.302934831,0.546,0.335,3.96E-08,3.48E-19,0.296339,0.464,0.258,1.82E-15,7.57E-12,6.97E-19,5,PF3D7-0812100
PF3D7-1360800,1.91E-17,0.318191361,0.749,0.477,9.95E-14,7.04E-19,0.315617011,0.603,0.392,3.68E-15,1.91E-17,1.41E-18,5,PF3D7-1360800
PF3D7-1208100,8.15E-12,0.347446184,0.667,0.469,4.26E-08,1.25E-18,0.367225914,0.594,0.399,6.55E-15,8.15E-12,2.51E-18,5,PF3D7-1208100
PF3D7-0319700,1.55E-12,0.328624397,0.607,0.359,8.10E-09,3.14E-18,0.39255532,0.576,0.389,1.64E-14,1.55E-12,6.28E-18,5,PF3D7-0319700
PF3D7-1313800,6.52E-18,0.339894734,0.59,0.331,3.41E-14,8.24E-17,0.300976373,0.497,0.297,4.31E-13,8.24E-17,1.30E-17,5,PF3D7-1313800
PF3D7-1228800,1.08E-17,0.364016134,0.776,0.538,5.66E-14,3.79E-16,0.322739161,0.612,0.434,1.98E-12,3.79E-16,2.17E-17,5,PF3D7-1228800
PF3D7-1364400,1.78E-16,0.322928996,0.503,0.254,9.31E-13,1.10E-17,0.352198727,0.397,0.214,5.75E-14,1.78E-16,2.20E-17,5,PF3D7-1364400
PF3D7-0721000,8.60E-16,0.396395381,0.59,0.347,4.49E-12,3.02E-17,0.340494891,0.458,0.271,1.58E-13,8.60E-16,6.05E-17,5,PF3D7-0721000
PF3D7-1219000,3.58E-09,0.300109887,0.519,0.344,1.87E-05,3.76E-17,0.326772772,0.521,0.327,1.96E-13,3.58E-09,7.51E-17,5,PF3D7-1219000
PF3D7-1008000,1.51E-11,0.309889388,0.705,0.497,7.87E-08,4.33E-17,0.308931512,0.606,0.41,2.26E-13,1.51E-11,8.65E-17,5,PF3D7-1008000
PF3D7-1410300,1.23E-12,0.35261804,0.568,0.345,6.45E-09,3.15E-16,0.381111681,0.488,0.305,1.64E-12,1.23E-12,6.29E-16,5,PF3D7-1410300
PF3D7-1348400,6.75E-08,0.309847784,0.432,0.274,0.000352693,3.93E-16,0.332901104,0.394,0.219,2.05E-12,6.75E-08,7.85E-16,5,PF3D7-1348400
PF3D7-0419900,1.50E-08,0.330661622,0.47,0.311,7.85E-05,1.99E-14,0.340381489,0.373,0.212,1.04E-10,1.50E-08,3.98E-14,5,PF3D7-0419900
PF3D7-0422200,1.71E-07,0.314120089,0.514,0.366,0.000891655,4.19E-13,0.366550198,0.455,0.299,2.19E-09,1.71E-07,8.38E-13,5,PF3D7-0422200
PF3D7-1239800,6.08E-13,0.370671643,0.798,0.634,3.17E-09,2.90E-11,0.313083764,0.655,0.539,1.52E-07,2.90E-11,1.22E-12,5,PF3D7-1239800
PF3D7-0724700,3.83E-11,0.317723018,0.656,0.451,2.00E-07,4.12E-12,0.264234056,0.545,0.379,2.15E-08,3.83E-11,8.24E-12,5,PF3D7-0724700
PF3D7-0930300,0,1.082669763,0.861,0.027,0,1.50E-111,0.948914678,0.424,0.009,7.83E-108,1.50E-111,0,6,PF3D7-0930300
PF3D7-0207400,0,0.38682311,0.583,0.01,0,2.64E-129,0.427085012,0.394,0.006,1.38E-125,2.64E-129,0,6,PF3D7-0207400
PF3D7-0207500,0,0.336776055,0.438,0.001,0,6.67E-248,0.367603809,0.242,0,3.49E-244,6.67E-248,0,6,PF3D7-0207500
PF3D7-0511200,1.21E-236,0.67274693,0.84,0.063,6.34E-233,4.60E-106,0.480139559,0.576,0.019,2.40E-102,4.60E-106,2.43E-236,6,PF3D7-0511200
PF3D7-0612200,2.41E-223,0.559141653,0.708,0.043,1.26E-219,1.97E-88,0.522183491,0.515,0.018,1.03E-84,1.97E-88,4.81E-223,6,PF3D7-0612200
PF3D7-0919900,4.47E-188,0.487659365,0.59,0.034,2.33E-184,8.94E-83,0.533424404,0.545,0.022,4.67E-79,8.94E-83,8.94E-188,6,PF3D7-0919900
PF3D7-0613800,3.80E-182,0.72002775,0.806,0.077,1.98E-178,4.19E-48,0.725010146,0.545,0.039,2.19E-44,4.19E-48,7.60E-182,6,PF3D7-0613800
PF3D7-0310400,1.72E-178,0.509966015,0.694,0.055,8.98E-175,2.55E-43,0.440782963,0.455,0.03,1.33E-39,2.55E-43,3.44E-178,6,PF3D7-0310400
PF3D7-0319400,4.85E-157,0.513240298,0.715,0.07,2.53E-153,5.31E-115,0.535010623,0.788,0.033,2.77E-111,5.31E-115,9.70E-157,6,PF3D7-0319400
PF3D7-0903300,1.15E-152,0.444076888,0.632,0.052,6.01E-149,7.58E-57,0.375367678,0.455,0.022,3.96E-53,7.58E-57,2.30E-152,6,PF3D7-0903300
PF3D7-1227500,4.17E-134,0.503071673,0.667,0.07,2.18E-130,3.13E-61,0.446309341,0.515,0.027,1.63E-57,3.13E-61,8.33E-134,6,PF3D7-1227500
PF3D7-1325900,1.97E-116,0.456133912,0.708,0.092,1.03E-112,7.41E-56,0.449547311,0.606,0.041,3.87E-52,7.41E-56,3.93E-116,6,PF3D7-1325900
PF3D7-0516800,2.99E-109,0.379420835,0.583,0.066,1.56E-105,3.07E-26,0.257478333,0.333,0.026,1.61E-22,3.07E-26,5.99E-109,6,PF3D7-0516800
PF3D7-1325400,5.36E-99,0.306768816,0.472,0.045,2.80E-95,3.04E-26,0.336246586,0.333,0.026,1.59E-22,3.04E-26,1.07E-98,6,PF3D7-1325400
PF3D7-1141300,2.71E-96,0.406902854,0.701,0.108,1.42E-92,7.78E-27,0.471660533,0.515,0.061,4.06E-23,7.78E-27,5.42E-96,6,PF3D7-1141300
PF3D7-0717600,1.69E-88,0.39953478,0.701,0.118,8.82E-85,2.81E-28,0.396775216,0.515,0.058,1.47E-24,2.81E-28,3.38E-88,6,PF3D7-0717600
PF3D7-0710000,1.18E-82,0.317990952,0.514,0.065,6.19E-79,7.29E-25,0.35741956,0.394,0.039,3.81E-21,7.29E-25,2.37E-82,6,PF3D7-0710000
PF3D7-1440000,2.41E-79,0.320587989,0.625,0.098,1.26E-75,2.85E-48,0.463308299,0.606,0.046,1.49E-44,2.85E-48,4.83E-79,6,PF3D7-1440000
PF3D7-1143500,7.39E-78,0.408357241,0.639,0.107,3.86E-74,5.81E-70,0.617770311,0.727,0.048,3.04E-66,5.81E-70,1.48E-77,6,PF3D7-1143500
PF3D7-0704300,1.32E-77,0.412693547,0.743,0.146,6.87E-74,5.43E-31,0.431145549,0.727,0.098,2.84E-27,5.43E-31,2.63E-77,6,PF3D7-0704300
PF3D7-1220300,1.75E-74,0.304747238,0.472,0.061,9.13E-71,1.40E-11,0.288211672,0.273,0.039,7.30E-08,1.40E-11,3.50E-74,6,PF3D7-1220300
PF3D7-0728600,1.13E-68,0.344341102,0.569,0.094,5.92E-65,2.87E-19,0.377369685,0.515,0.082,1.50E-15,2.87E-19,2.27E-68,6,PF3D7-0728600
PF3D7-0728100,1.74E-68,0.408001749,0.653,0.127,9.11E-65,7.57E-20,0.542196066,0.545,0.088,3.96E-16,7.57E-20,3.49E-68,6,PF3D7-0728100
PF3D7-1027300,8.53E-65,0.648259536,0.924,0.304,4.46E-61,1.04E-07,0.41611306,0.727,0.277,0.000544801,1.04E-07,1.71E-64,6,PF3D7-1027300
PF3D7-1141400,1.20E-63,0.37086534,0.75,0.175,6.29E-60,1.31E-13,0.31280619,0.515,0.105,6.87E-10,1.31E-13,2.41E-63,6,PF3D7-1141400
PF3D7-0522400,6.22E-62,0.34277543,0.5,0.079,3.25E-58,2.25E-10,0.270694021,0.455,0.103,1.18E-06,2.25E-10,1.24E-61,6,PF3D7-0522400
PF3D7-0208100,1.75E-58,0.360124894,0.667,0.149,9.14E-55,5.07E-12,0.274125246,0.485,0.102,2.65E-08,5.07E-12,3.50E-58,6,PF3D7-0208100
